type2;;;;;;;;;filler
ap12landing;;;;;;;;;filler
MET;;altitude PAO;phase;time/PDI (s);;time/P64;;Abs time;filler
110:16:40;1;;o;110:20:37;;110:29:12;???VERIF ALT;;filler
110:17:05;1;;o;110:20:37;;110:29:12;;;filler
110:17:36;1;;o;110:20:37;;110:29:12;;;filler
110:17:55;1;;o;110:20:37;;110:29:12;;;filler
110:18:25;1;;o;110:20:37;;110:29:12;;;filler
110:18:59;1;;o;110:20:37;;110:29:12;;;filler
110:19:30;1;;o;110:20:37;;110:29:12;;;filler
110:19:37;1;;o;110:20:37;;110:29:12;;;filler
110:20:01;1;;o;110:20:37;;110:29:12;180;;filler
110:20:06;1;;o;110:20:37;;110:29:12;;;filler
110:20:29;1;;o;110:20:37;;110:29:12;240;;filler
110:20:43;1;;b;110:20:37;;110:29:12;;;filler
110:21:06;1;;b;110:20:37;;110:29:12;1mn to PDI;;filler
110:21:20;1;;b;110:20:37;;110:29:12;;;filler
110:21:39;1;48000;b;110:20:37;;110:29:12;Ignition;;filler
110:21:49;1;;b;110:20:37;;110:29:12;;;filler
110:21:57;1;;b;110:20:37;;110:29:12;VERIF ALT;;filler
110:22:09;1;;b;110:20:37;;110:29:12;;;filler
110:22:34;1;;b;110:20:37;;110:29:12;;;filler
110:23:05;1;;b;110:20:37;;110:29:12;;;filler
110:23:23;1;;b;110:20:37;;110:29:12;;;filler
110:23:38;2;;b;110:20:37;;110:29:12;;;filler
110:23:53;2;;b;110:20:37;;110:29:12;;;filler
110:23:58;2;;b;110:20:37;;110:29:12;;;filler
110:24:12;2;;b;110:20:37;;110:29:12;;;filler
110:24:20;2;;b;110:20:37;;110:29:12;;;filler
110:24:26;2;;b;110:20:37;;110:29:12;;;filler
110:24:35;2;;b;110:20:37;;110:29:12;;;filler
110:24:39;2;;b;110:20:37;;110:29:12;;;filler
110:24:53;2;;b;110:20:37;;110:29:12;;;filler
110:25:05;2;;b;110:20:37;;110:29:12;;;filler
110:25:22;2;;b;110:20:37;;110:29:12;;;filler
110:25:34;2;;b;110:20:37;;110:29:12;;;filler
110:25:56;2;;b;110:20:37;;110:29:12;;;filler
110:26:05;2;;b;110:20:37;;110:29:12;;;filler
110:26:11;2;;b;110:20:37;;110:29:12;;;filler
110:26:22;2;;b;110:20:37;;110:29:12;;;filler
110:26:46;2;;b;110:20:37;;110:29:12;;;filler
110:27:04;2;;b;110:20:37;;110:29:12;throttle down;;filler
110:27:11;2;;b;110:20:37;;110:29:12;;;filler
110:27:50;2;;b;110:20:37;;110:29:12;;;filler
110:28:05;2;;b;110:20:37;;110:29:12;;;filler
110:28:21;2;;b;110:20:37;;110:29:12;;;filler
110:28:38;3;;b;110:20:37;;110:29:12;;;filler
110:28:43;3;12000;b;110:20:37;;110:29:12;;;filler
110:28:58;3;9000;b;110:20:37;;110:29:12;;;filler
110:29:10;3;7000;b;110:20:37;;110:29:12;p64;;filler
110:29:18;3;;a;110:20:37;;110:29:12;;;filler
110:29:25;3;;a;110:20:37;;110:29:12;;;filler
110:29:46;3;;a;110:20:37;;110:29:12;go for landing;;filler
110:29:58;3;2000;a;110:20:37;;110:29:12;;;filler
110:30:07;3;;a;110:20:37;;110:29:12;;;filler
110:30:09;3;1300;a;110:20:37;;110:29:12;;;filler
110:30:36;3;600;a;110:20:37;;110:29:12;;;filler
110:30:47;3;450;a;110:20:37;;110:29:12;p66;;filler
110:30:55;3;350;a;110:20:37;;110:29:12;;;filler
110:31:05;3;270;a;110:20:37;;110:29:12;;;filler
110:31:21;3;;a;110:20:37;;110:29:12;;;filler
110:31:23;3;200;a;110:20:37;;110:29:12;;;filler
110:31:33;3;;a;110:20:37;;110:29:12;;;filler
110:31:41;3;150;a;110:20:37;;110:29:12;;;filler
110:31:53;3;96;a;110:20:37;;110:29:12;;;filler
110:31:57;3;80;a;110:20:37;;110:29:12;;;filler
110:32:02;3;70;a;110:20:37;;110:29:12;;;filler
110:32:06;3;63;a;110:20:37;;110:29:12;;;filler
110:32:11;3;46;a;110:20:37;;110:29:12;;;filler
110:32:12;3;;a;110:20:37;;110:29:12;;;filler
110:32:13;3;;a;110:20:37;;110:29:12;low level;;filler
110:32:19;3;42;a;110:20:37;;110:29:12;;;filler
110:32:24;3;31;a;110:20:37;;110:29:12;;;filler
110:32:32;3;21;a;110:20:37;;110:29:12;;;filler
110:32:39;3;5;a;110:20:37;;110:29:12;contact;;filler
110:32:42;3;1;a;110:20:37;m;110:29:12;landed;;filler
